"azithromycin_1.75mM"	"azithromycin_2mM"
"AAC1"	-0.0805756818052052	-0.126602665123131
"AAC3"	0.0379990462430905	-0.0721300843643397
"AAD14"	NA	NA
"AAD3"	0.791289670301348	0.348782708961409
"AAD4"	0.0983649603081432	0.0450910275062316
"AAD6"	-0.78868992849307	-0.766956245364333
"AAH1"	-0.586829781086609	-1.04205439375799
"AAP1"	0.117589567981394	0.503340121109318
"AAT1"	0.363407012568821	0.114499151049443
"AAT2"	0.750374637468554	1.0270784568787
"ABF2"	1.2386917517941	1.17853378643789
"ABM1"	-0.165647310028474	-0.401630617082373
"ABP1"	-0.456086732157822	-0.603864083513067
"ABP140"	0.092204922381644	-0.137120535193778
"ABZ1"	0.225903572776741	-0.227440622245117
"ABZ2"	-0.287933659477883	-0.0788788311870404
"ACA1"	-0.491897291835388	-0.627351767610225
"ACB1"	1.59663266499212	0.779410323400707
"ACE2"	-0.0356792243364031	0.132305530106131
"ACF2"	-0.13674303960139	-0.385588030172405
"ACF4"	0.0493525358535734	-0.27735910470945
"ACH1"	-0.621651018911015	-0.180700555541045
"ACK1"	-1.35071322260002	-1.02772361393657
"ACL4"	4.66210604094755e-05	0.244640399397021
"ACM1"	-0.22775532340999	-0.319158960610601
"ACO1"	0.174922908590747	-0.340918660317529
"ACO2"	-0.1489052862737	-0.0277354874556285
"ACS1"	0.0310833837338965	0.446517590437078
"ADA2"	0.00470980520011997	-0.0200723420187827
"ADD37"	-0.143287861545164	-0.207750534766859
"ADD66"	-0.387380981691554	-0.207435587018142
"ADE1"	-0.714727451738335	-2.00128767612432
"ADE12"	NA	NA
"ADE16"	-0.109743145950561	-0.360560376333684
"ADE17"	0.264632763871676	0.00528195435844078
"ADE2"	0.00148188468920992	0.00144531731416197
"ADE3"	-0.0911722915419658	-0.650247305766274
"ADE4"	-0.393520269321264	-0.878560647777372
"ADE57"	-0.424628293388334	-0.723392365432402
"ADE6"	-1.1023708134531	-1.82941002789377
"ADE8"	-0.507256201844556	-1.15248361638497
"ADH1"	-0.0162245093219456	-0.569378628193059
"ADH2"	0.0847023275665315	0.0768022982305598
"ADH3"	-0.24389409837304	-0.348237317256435
"ADH4"	-0.0584481499607869	-0.093547801951293
"ADH5"	0.215290339964483	0.237791100144651
"ADH6"	0.0660445542980658	0.212350066392944
"ADH7"	0.179884000212761	0.162455302644437
"ADI1"	0.154009443277162	-0.248640575750323
"ADK1"	-0.368117902425603	-1.28284023668798
"ADK2"	0.0612470349399033	0.273263497652684
"ADO1"	-0.981721457608095	-1.93395762633801
"ADP1"	-0.310570048564323	-0.0195950954198914
"ADR1"	-0.0739252763318238	-0.279195609669484
"ADY2"	0.0328451224988446	0.163916299994059
"ADY3"	-0.377583299552613	0.238486680457815
"ADY4"	-0.0612630008566511	0.0504698631696799
"AEP1"	0.968620149360662	0.612465124897223
"AEP2"	1.00467608873058	0.510193849013202
"AEP3"	1.56783870491001	0.993941257583624
"AFB1"	0.0162605300226982	-0.2310886782322
"AFG1"	0.0571479667759104	-0.0827513378689549
"AFG3"	0.745682958221292	0.626644083520169
"AFI1"	-0.00509467389255405	0.0960389545905122
"AFR1"	-0.110388381575967	0.156882699925897
"AFT1"	0.138676100561913	-0.517905335007123
"AFT2"	-0.0931857405320055	0.0901968534956599
"AGA1"	0.0100869067588252	0.0126456518923795
"AGA2"	-0.18663763439997	-0.152699135934291
"AGC1"	-0.225617068098555	-0.10364524779646
"AGE1"	0.0977167475895388	-0.259034291442243
"AGE2"	-0.550894726798827	-0.48284289295968
"AGP1"	-0.349192521507736	-0.0395097214728977
"AGP2"	0.000977095603988513	0.00108880635720854
"AGP3"	0.0211364415436562	-0.123428440165058
"AGX1"	-0.178588664225269	0.12105834683621
"AHA1"	-0.112074022947777	-0.245862999688173
"AHC1"	0.214971717478339	0.361441746510404
"AHC2"	0.123269366135738	0.479274555350974
"AHK1"	0.074672842472728	0.357909722635809
"AHP1"	-0.367789178058598	-0.0765995642777647
"AHT1"	0.316898389579332	-0.0482627073186011
"AIF1"	0.148707249003704	0.268350071678641
"AIM10"	0.439128462277809	0.294304080192231
"AIM11"	0.181003832795755	0.054745903618433
"AIM14"	0.0334243928959414	-0.234320142027475
"AIM17"	0.00195215883329603	-0.201209121355965
"AIM18"	-0.138057319425432	0.248861647263737
"AIM19"	-0.43881239648493	-0.611310146248116
"AIM2"	0.474968844466614	0.345288221442781
"AIM20"	-0.475180142148251	-1.16883510008248
"AIM21"	0.00479860161430171	0.0270694079421415
"AIM22"	2.62605119721152	2.71545310175785
"AIM23"	0.154125184464409	0.312513016054517
"AIM24"	0.217782267738682	0.0539348933136303
"AIM25"	-0.0675553959251199	0.151210042335055
"AIM26"	2.25483412966023	1.84297459720936
"AIM29"	-0.194612285120685	-0.565902079979688
"AIM3"	-0.210172684556132	-0.0105696950535585
"AIM32"	-0.0244943410081375	-0.0102253163948222
"AIM33"	0.289458636699362	0.393229088474064
"AIM34"	-0.166900263038424	-0.422099823759656
"AIM36"	-0.274829486606267	-0.146311833047654
"AIM39"	0.013315580053922	-0.175489975956128
"AIM4"	0.0629821668335283	0.0594906131552029
"AIM41"	-0.289252881034343	-0.143841716984776
"AIM44"	0.303670698066079	0.315601589153297
"AIM45"	0.0649319105442591	-0.179701060940358
"AIM46"	-0.448844209331844	-0.0359258510868732
"AIM6"	-0.0235525546794673	-0.102686909357386
"AIM7"	-0.340424373240812	-0.160452275505806
"AIM9"	-0.0202500759137715	-0.0852238133378496
"AIP1"	-0.119675034411394	0.447257036864162
